theme_bucket,topic_col,mean_topic_probability,topic_id,topic_label
city_comparison,topic_0,0.1517447799064214,0,general_liveability_and_city_amenities
cost_housing,topic_0,0.10602708078484889,0,general_liveability_and_city_amenities
liveability_general,topic_0,0.1354917400533604,0,general_liveability_and_city_amenities
living_experience,topic_0,0.14720047246109527,0,general_liveability_and_city_amenities
other,topic_0,0.16488584104231324,0,general_liveability_and_city_amenities
transport_infrastructure,topic_0,0.09238178306254596,0,general_liveability_and_city_amenities
city_comparison,topic_1,0.2892527979087342,1,city_comparison_weather_and_lifestyle
cost_housing,topic_1,0.1998395740409625,1,city_comparison_weather_and_lifestyle
liveability_general,topic_1,0.14099845347206377,1,city_comparison_weather_and_lifestyle
living_experience,topic_1,0.2367198693748881,1,city_comparison_weather_and_lifestyle
other,topic_1,0.2944407718434905,1,city_comparison_weather_and_lifestyle
transport_infrastructure,topic_1,0.10378859595423671,1,city_comparison_weather_and_lifestyle
city_comparison,topic_2,0.06433970616238273,2,public_transport_and_rail_infrastructure
cost_housing,topic_2,0.06106274954724817,2,public_transport_and_rail_infrastructure
liveability_general,topic_2,0.24567800544510027,2,public_transport_and_rail_infrastructure
living_experience,topic_2,0.06041002750164791,2,public_transport_and_rail_infrastructure
other,topic_2,0.061628737118994636,2,public_transport_and_rail_infrastructure
transport_infrastructure,topic_2,0.4695454715599556,2,public_transport_and_rail_infrastructure
city_comparison,topic_3,0.15879739710880292,3,cost_of_living_rent_and_household_pressure
cost_housing,topic_3,0.2961312937668684,3,cost_of_living_rent_and_household_pressure
liveability_general,topic_3,0.17047575923998207,3,cost_of_living_rent_and_household_pressure
living_experience,topic_3,0.1229823335499274,3,cost_of_living_rent_and_household_pressure
other,topic_3,0.11833545303995528,3,cost_of_living_rent_and_household_pressure
transport_infrastructure,topic_3,0.12009222329199197,3,cost_of_living_rent_and_household_pressure
city_comparison,topic_4,0.21754894903550276,4,argumentative_city_identity_debate
cost_housing,topic_4,0.13473882547403382,4,argumentative_city_identity_debate
liveability_general,topic_4,0.14271782754729115,4,argumentative_city_identity_debate
living_experience,topic_4,0.16649707124080024,4,argumentative_city_identity_debate
other,topic_4,0.21899069544451136,4,argumentative_city_identity_debate
transport_infrastructure,topic_4,0.09405681862156048,4,argumentative_city_identity_debate
city_comparison,topic_5,0.11831636987815601,5,creator_audience_conversational_replies
cost_housing,topic_5,0.20220047638603822,5,creator_audience_conversational_replies
liveability_general,topic_5,0.16463821424220237,5,creator_audience_conversational_replies
living_experience,topic_5,0.2661902258716411,5,creator_audience_conversational_replies
other,topic_5,0.141718501510735,5,creator_audience_conversational_replies
transport_infrastructure,topic_5,0.12013510750970922,5,creator_audience_conversational_replies
